Provider,TotalClaims_Count,UniqueBeneficiaries_Count,InpatientClaims_Count,OutpatientClaims_Count,MeanReimbursement,TotalReimbursement,StdReimbursement,MinReimbursement,MaxReimbursement,FirstClaimDate,LastClaimDate,UniqueClaimDates_Count,UniqueClaimMonths_Count,ClaimsPerBeneficiary_Ratio,InpatientPercentage,OutpatientPercentage,ExtraVisitsPerBeneficiary_Percentage,BeneficiariesWithInpatient_Percentage,BeneficiariesWithOutpatient_Percentage,InpatientOutpatient_Ratio,ClaimsPerMonth_Ratio,ClaimDurationDays,ReimbursementCoV_Ratio,PotentialFraud
PRV51001,25,24,5,20,4185.6,104640,10796.09114448373,10,42000,2009-01-04,2009-12-28,23,10,1.0416666666666667,20.0,80.0,4.166666666666666,20.833333333333336,83.33333333333334,0.25,2.5,358,2.5793413475926337,No
PRV51003,132,117,62,70,4588.409090909091,605670,7309.79472874617,0,57000,2008-12-29,2009-12-20,111,13,1.1282051282051282,46.96969696969697,53.03030303030303,12.82051282051282,52.991452991452995,59.82905982905983,0.8857142857142857,10.153846153846153,356,1.5931000448998538,Yes
PRV51004,149,138,0,149,350.13422818791946,52170,689.9637540197714,0,3300,2009-01-03,2009-12-27,117,12,1.0797101449275361,0.0,100.0,7.971014492753622,0.0,100.0,0.0,12.416666666666666,358,1.9705692802174801,No
PRV51005,1165,495,0,1165,241.1244635193133,280910,491.556391867259,0,4080,2008-12-19,2009-12-30,356,13,2.3535353535353534,0.0,100.0,135.35353535353536,0.0,100.0,0.0,89.61538461538461,376,2.038600251060328,Yes
PRV51007,72,58,3,69,468.19444444444446,33710,1433.7691157058027,0,10000,2009-01-01,2009-12-23,68,12,1.2413793103448276,4.166666666666666,95.83333333333334,24.137931034482758,5.172413793103448,100.0,0.043478260869565216,6.0,356,3.0623368831449955,No
PRV51008,43,36,2,41,828.6046511627907,35630,3224.7654631552355,0,21000,2009-01-01,2009-12-22,43,12,1.1944444444444444,4.651162790697675,95.34883720930233,19.444444444444446,5.555555555555555,100.0,0.04878048780487805,3.5833333333333335,355,3.89180227099846,No
PRV51011,58,53,1,57,286.7241379310345,16630,701.0478070917784,0,5000,2009-01-01,2009-12-26,54,12,1.0943396226415094,1.7241379310344827,98.27586206896551,9.433962264150944,1.8867924528301887,100.0,0.017543859649122806,4.833333333333333,359,2.445025424613539,No
PRV51012,48,31,0,48,351.875,16890,707.8936578689371,0,3300,2009-01-13,2009-12-31,44,12,1.5483870967741935,0.0,100.0,54.83870967741935,0.0,100.0,0.0,4.0,352,2.0117759371053276,No
PRV51013,46,44,0,46,323.4782608695652,14880,471.622341339171,0,1800,2009-01-14,2009-12-23,42,12,1.0454545454545454,0.0,100.0,4.545454545454546,0.0,100.0,0.0,3.8333333333333335,343,1.457972291774319,No
PRV51014,30,25,0,30,349.3333333333333,10480,822.984196996362,0,3300,2009-01-01,2009-12-19,29,10,1.2,0.0,100.0,20.0,0.0,100.0,0.0,3.0,352,2.3558707929285174,No
